"Pop_Code","standard","actual","fruit.inf.Length","aborted.inf.length","flower.inf.length","bud.inf.Length","Location","Date","Latitude","Longitude","yday","Year","GD","GDs","GDD","GDDs","meanGDeg","varGDeg","skewGDeg","kurtGDeg","numStns","flowered.cm","bud.cm","fruit.cm","a.flower.cm","infl.cm","flowered.mm","bud.mm","fruit.mm","a.flower.mm","infl.mm"
"CHRB0001057-2",1144.175,10,0,0,615.546,218.55,"39.92678 -75.13045","1866-07-29",39.92678,-75.13045,210,1866,198,110,2373.125,1365.575,11.985479798,30.3904867647,-0.0476639623,-0.5900447971,1,5.37982389057618,1.91010990451635,0,0,7.28993379509253,53.7982389057618,19.1010990451635,0,0,72.8993379509253
"CHRB0001057",1144.175,10,633.057,0,501.891,396.095,"39.92678 -75.13045","1870-09-09",39.92678,-75.13045,252,1870,219,157,2684.2,2173.75,12.2566210046,35.9921821897,-0.1770998425,-0.8681742008,1,4.38648808093168,3.46183931653812,5.53286866082549,0,13.3811960582953,43.8648808093168,34.6183931653812,55.3286866082549,0,133.811960582953
"MU-V-000195927",1164.557,10,661.037,0,382.649,220.465,"Conway, New Hampshire","1875-08-15",43.981703,-71.298,227,1875,170,99,1594.35,1096.9,9.3785294118,28.4824948962,-0.2304087878,-1.0129504291,1,3.28579021894162,1.89312330783294,5.67629579316427,0,10.8552093199388,32.8579021894162,18.9312330783294,56.7629579316427,0,108.552093199388
"1189114",1170,10,2838.228,0,234.195,0,"Ashland Mass. ","1877-08-17",42.260534,-71.471301,229,1877,148,99,1752,1204.8,11.8378378378,12.4896493791,-0.6249843936,-0.4211660838,1,2.00166666666667,0,24.258358974359,0,26.2600256410256,20.0166666666667,0,242.58358974359,0,262.600256410256
"919016573",614.7,5,0,0,1393.13,1227.58,"",NA,42.26,-71.46,185,1884,144,47,1476.6,483.45,10.2541666667,18.29640625,-0.4427646252,-0.426872701,1,11.3317878639987,9.98519603058402,0,0,21.3169838945827,113.317878639987,99.8519603058402,0,0,213.169838945827
"365688",1896.002,10,759.113,0,440.699,607.751,"Montmorency Falls, Quebec","0006-08-19",46.890968,-71.147882,218,1910,142,85,1107.55,735.8,7.7996478873,15.4157569183,-0.0744235739,-0.8084990668,1,2.32435936249012,3.20543438245318,4.00375632515156,0,9.53355007009486,23.2435936249012,32.0543438245318,40.0375632515156,0,95.3355007009486
"918950462",142.01,5,212.19,0,0,19.65,"",NA,49.233888,-124.805549,230,1922,107.5577862824,46.7813564377,807.6060303285,510.1735490098,7.6438267789,9.7065755062,-0.6873369085,-0.216426824,5,0,0.691852686430533,7.47095274980635,0,8.16280543623689,0,6.91852686430533,74.7095274980635,0,81.6280543623689
"919024147",616.05,5,0,0,1265.55,284.18,"","0024-08-19",44.39,-68.3,236,1929,134.9124154788,89.7405072729,1168.1768296926,877.831681692,8.6584040439,11.3055401637,0.0306064201,0.1448979438,5,10.2714877039201,2.30646863079296,0,0,12.5779563347131,102.714877039201,23.0646863079296,0,0,125.779563347131
"918950487",156.01,5,0,0,724.73,221.71,"",NA,51.05,-114.07,233,1948,130.4392264087,95.9227049544,884.0394959097,665.010937736,6.7520432986,7.5558002466,-0.0085595319,-0.0031527798,5,23.2270367284148,7.10563425421447,0,0,30.3326709826293,232.270367284148,71.0563425421447,0,0,303.326709826293
"465910696",151,5,389.38,0,72.24,20.25,"",NA,47.069333,-71.302632,213,1949,105.909888288,69.049368987,1005.1511776804,728.3290123914,8.3455990173,24.4253304194,0.191592449,-0.9808845911,5,2.39205298013245,0.670529801324503,12.8933774834437,0,15.9559602649007,23.9205298013245,6.70529801324503,128.933774834437,0,159.559602649007
