"Pop_Code","Plant_ID","Year","yday","Site","Latitude","Longitude","GD","GDs","GDD","GDDs","meanGDeg","varGDeg","skewGDeg","kurtGDeg","numStns"
1,"1_BEF_C13_1_1",2008,168,"1_BEF",39.059479,-78.059835,185,61,2065.70531691328,543.771806598197,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
2,"1_BEF_C11_1_2",2008,180,"1_BEF",39.059479,-78.059835,185,73,2065.70531691328,695.796921922484,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
3,"1_BEF_A16_1_3",2008,165,"1_BEF",39.059479,-78.059835,185,58,2065.70531691328,499.098946978193,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
4,"1_BEF_C20_1_4",2008,193,"1_BEF",39.059479,-78.059835,185,86,2065.70531691328,884.623948050102,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
5,"1_BEF_T3_1_5",2008,171,"1_BEF",39.059479,-78.059835,185,64,2065.70531691328,573.704513279014,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
6,"1_BEF_C18_1_6",2008,180,"1_BEF",39.059479,-78.059835,185,73,2065.70531691328,695.796921922484,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
7,"1_BEF_C22_1_7",2008,169,"1_BEF",39.059479,-78.059835,185,62,2065.70531691328,555.476661943101,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
8,"1_BEF_E27_1_8",2008,176,"1_BEF",39.059479,-78.059835,185,69,2065.70531691328,634.551260788014,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
9,"1_BEF_C1_1_9",2008,172,"1_BEF",39.059479,-78.059835,185,65,2065.70531691328,583.483893059293,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
10,"1_BEF_J1_1_10",2008,193,"1_BEF",39.059479,-78.059835,185,86,2065.70531691328,884.623948050102,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
11,"1_BEF_C20_1_11",2008,185,"1_BEF",39.059479,-78.059835,185,78,2065.70531691328,763.327117430539,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
12,"1_BEF_E6_1_12",2008,172,"1_BEF",39.059479,-78.059835,185,65,2065.70531691328,583.483893059293,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
13,"1_BEF_S12_1_13",2008,190,"1_BEF",39.059479,-78.059835,185,83,2065.70531691328,837.578521216579,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
14,"1_BEF_E3_1_14",2008,174,"1_BEF",39.059479,-78.059835,185,67,2065.70531691328,609.184739543773,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
15,"1_BEF_J26_1_15",2008,183,"1_BEF",39.059479,-78.059835,185,76,2065.70531691328,738.629236414195,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
16,"1_BEF_S10_1_16",2008,193,"1_BEF",39.059479,-78.059835,185,86,2065.70531691328,884.623948050102,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
17,"1_BEF_A18_1_17",2008,178,"1_BEF",39.059479,-78.059835,185,71,2065.70531691328,661.402589091938,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
18,"1_BEF_E13_1_18",2008,167,"1_BEF",39.059479,-78.059835,185,60,2065.70531691328,530.713145284434,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
