"Pop_Code","Plant_ID","Year","yday","Site","Latitude","Longitude"
"1","1_BEF_C13_1_1",2008,168,"1_BEF",39.059479,-78.059835
"2","1_BEF_C11_1_2",2008,180,"1_BEF",39.059479,-78.059835
"3","1_BEF_A16_1_3",2008,165,"1_BEF",39.059479,-78.059835
"4","1_BEF_C20_1_4",2008,193,"1_BEF",39.059479,-78.059835
"5","1_BEF_T3_1_5",2008,171,"1_BEF",39.059479,-78.059835
"6","1_BEF_C18_1_6",2008,180,"1_BEF",39.059479,-78.059835
"7","1_BEF_C22_1_7",2008,169,"1_BEF",39.059479,-78.059835
"8","1_BEF_E27_1_8",2008,176,"1_BEF",39.059479,-78.059835
"9","1_BEF_C1_1_9",2008,172,"1_BEF",39.059479,-78.059835
"10","1_BEF_J1_1_10",2008,193,"1_BEF",39.059479,-78.059835
"11","1_BEF_C20_1_11",2008,185,"1_BEF",39.059479,-78.059835
"12","1_BEF_E6_1_12",2008,172,"1_BEF",39.059479,-78.059835
"13","1_BEF_S12_1_13",2008,190,"1_BEF",39.059479,-78.059835
"14","1_BEF_E3_1_14",2008,174,"1_BEF",39.059479,-78.059835
"15","1_BEF_J26_1_15",2008,183,"1_BEF",39.059479,-78.059835
"16","1_BEF_S10_1_16",2008,193,"1_BEF",39.059479,-78.059835
"17","1_BEF_A18_1_17",2008,178,"1_BEF",39.059479,-78.059835
"18","1_BEF_E13_1_18",2008,167,"1_BEF",39.059479,-78.059835
"19","1_BEF_T11_1_19",2008,198,"1_BEF",39.059479,-78.059835
"20","1_BEF_J21_1_20",2008,190,"1_BEF",39.059479,-78.059835
"21","1_BEF_S6_1_21",2008,187,"1_BEF",39.059479,-78.059835
"22","1_BEF_E25_1_22",2008,171,"1_BEF",39.059479,-78.059835
"23","1_BEF_S19_2_1",2008,176,"1_BEF",39.059479,-78.059835
"24","1_BEF_J11_2_2",2008,173,"1_BEF",39.059479,-78.059835
"25","1_BEF_S15_2_3",2008,190,"1_BEF",39.059479,-78.059835
"26","1_BEF_S9_2_4",2008,185,"1_BEF",39.059479,-78.059835
"27","1_BEF_C19_2_5",2008,176,"1_BEF",39.059479,-78.059835
