"Pop_Code","Latitude","Longitude","Elevation","cum.daylight.hours","ann.mean.temp","season.length","calculatedGDD","Julien.date.of.first.flower","yday","percentage.damaged.by.herbivory","Water.depth","X..sun","X..days.from..8C.to.first.flowering","weighted.average...days.after.growing.season.to.flowering","proportion.through.the.growing.season.of.flowering.start","Year","GD","GDs","GDD","GDDs","meanGDeg","varGDeg","skewGDeg","kurtGDeg","numStns"
"MDDB",38.7529722,-75.9901111,-19,3343.12259,14.5,256,2774.6,".",193,0,"8.33333333","83.3333333",".",118.46788,".",2004,217.462491705512,89.3422030500681,2685.1549989905,1210.29692029479,12.3536056654515,28.8231299699337,-0.630520823915855,-0.636382342863081,19
"NJHP",41.3130278,-74.678,390,2553.61516,8,185,1500.3,".",213,26.7,"1.60714286","82.1428571",".",102.377323,".",2004,170.491113642491,97.6516841910172,1758.07300707341,1031.07814817691,10.0753819674976,16.6789635410166,-0.492811818396154,-0.38249016504691,20
"NJPT",40.3403611,-74.6498611,-27,2954.31147,11.5,220,2109.8,".",207,5.5,"0.29411765","64.7058824",".",113.110606,".",2004,195.117793357526,104.114284354404,2190.9502407244,1199.17607658965,11.2027430035534,22.4872469867326,-0.506144538429423,-0.630728370963537,20
"NYLV",43.6970833,-76.19425,74,2642.70562,8.8,191,1649.6,"185",221,24.7,"23.4","62","74",110.145639,"0.38743456",2004,156.463434927596,93.5465996181116,1467.79692394825,891.178034786269,9.36319798244545,15.1390639192514,-0.301389741135747,-0.497714753801212,19
"NYSC",42.522,-79.1793056,222,2646.68255,8.9,192,1659.9,"180",201,0,"0.06666667","70","71",92.3723653,"0.36979167",2004,206.753086495951,99.4265191666632,1628.25163945142,765.50628846507,7.77030980235384,22.30539331186,-0.0759626325725655,-0.854989281847717,20
"NYWM",43.2897778,-76.1285833,127,2635.42166,8.6,190,1653.1,"174",229,46.7,".",".","65",120.276485,"0.34210526",2004,155.773206577798,102.065667061082,1468.38990457396,988.625955143815,9.4142362172584,14.3116126555389,-0.326422909920383,-0.383117466121969,20
"OHBV",41.4647778,-82.8199444,173,2797.2259,10.3,206,1996.8,"178",220,3.6,"14","50","75",117.179006,"0.36407767",2004,200.346539675268,113.313041710408,1948.84970692645,1230.57073905121,9.79960804787769,23.8961154345891,-0.298163866192629,-0.732208518020504,19
"OHSF",40.3903611,-81.26125,257,2752.01064,10,202,1842.7,"178",208,29.6,"0.33333333","69.1666667","77",107.267762,"0.38118812",2004,195.869435509902,101.618521672958,1882.77878165866,1092.01970666787,9.64489446262223,20.0938848497523,-0.44031220344089,-0.655202308463803,20
"ONAP",45.5791111,-78.4063611,454,2227.69781,4.1,155,1049.3,".",215,0,"0.23333333","96.6666667",".",92.3098792,".",2004,147.370018117135,84.1057813473072,1066.18428241471,643.263268614013,7.31849101334236,12.4830264169948,0.00192885818414926,-0.910099124758935,9
"ONBT",44.5590556,-78.3546111,253,2313.81452,5.2,163,1169.6,".",205,0,"2.46666667","63.3333333",".",85.2396265,".",2004,147.860124522641,76.2700443973465,1250.36753189766,633.687463508505,8.48567081505671,11.904432017828,0.0157203938567174,-0.740257630067976,20
"ONCB",46.3776389,-79.9749167,200,2226.86748,3.8,154,1080.4,".",208,0,"97.6666667","80.8333333",".",85.3705976,".",2004,127.546981265526,58.8907313241233,1046.71999128907,471.842223177899,7.93464329338621,12.0333050183538,-0.0702233267526036,-0.697287316773679,6
"ONDM",44.4925,-77.6456389,159,2381.26006,6,168,1251.7,"178",198,0,"0.53333333","73.3333333","62",82.2956983,"0.36904762",2004,157.63282810033,69,1319.13967862766,576.629832925847,8.67099559177787,14.4374666191981,-0.249891640336796,-0.738172607594438,18
"ONEC",47.6903889,-80.2766389,260,2143.51989,2.3,146,982.4,".",217,0,"0.56666667","93.3333333",".",90.7900764,".",2004,112,68,858.05,546.45,7.66116071428571,14.1113709741709,0.234702832627393,-0.560246171271145,1
"ONKA",44.6482222,-77.1218611,198,2383.2149,6,168,1251.7,".",201,0,"0.16666667","70.8333333",".",84.7623466,".",2004,151.943606355582,72,1344.66674523558,619.21037707452,8.79928597177257,12.7125644846597,-0.143560167349793,-0.736328439125003,15
"ONLG",46.4253611,-84.0878333,175,2223.51164,4.4,155,997,".",225,17.1,"8.16666667","83.3333333",".",98.3488904,".",2004,130.150110821898,91.0138899705866,998.321089640775,628.500354732828,6.24183344428636,13.1831196993592,-0.117779826260099,-0.845558494675125,15
"ONNO",45.4187222,-80.1006667,266,2288.10664,4.6,160,1111.1,"186",203,0,"0.46666667","93.3333333","65",81.8995408,"0.40625",2004,152.48864849432,73.1537690492074,1329.80750094762,601.889903614796,8.68410366478425,14.5067951649171,-0.105996912304599,-0.807215354276479,19
"ONPG",44.5947778,-78.132,257,2314.2529,5.2,163,1169.6,".",209,6.2,"0.66666667","65.8333333",".",89.4753429,".",2004,148.231612960991,80.0642068952823,1240.222055869,659.341687160245,8.3379009078818,13.3118683315753,0.0660650841385286,-0.740077722165472,20
"ONRO",45.2537222,-79.6391111,235,2286.0177,4.6,160,1111.1,"185",207,0.5,"0.06666667","89.1666667","64",85.7280543,"0.4",2004,173.457661656647,102.680600297371,1194.96126401428,609.936840282708,6.94891121606109,16.5193497582214,0.0748417828014949,-0.927457761268427,20
"ONRP",45.8302222,-77.13225,202,2384.10003,5.3,167,1321.5,"183",214,0,"137.8","64.1666667","66",96.8856238,"0.39520958",2004,161.506728682995,85.7576916963073,1255.34321738732,720.752598509252,8.1582420555294,15.9855696915048,-0.0668933902073827,-0.862276092381077,13
"ONTI",48.4783611,-81.2986944,319,2047.86059,1.4,138,860.3,".",229,93.2,"0","87.5",".",99.0295398,".",2004,105,79,680,532.35,6.47619047619048,14.206052154195,0.285846027244002,-0.717491979305652,1
"ONWH",45.4926111,-78.2382778,413,2226.60006,4.1,155,1049.3,"182",204,0,"0.56666667","63.3333333","59",81.0212382,"0.38064516",2004,148.100171252924,75.2821393564421,1096.31591915107,550.049972563911,7.36992372714748,13.8097074758483,0.127103617217045,-0.863291349737796,12
"PACL",41.6483056,-80.3111667,329,2626.49227,8.7,191,1586.8,".",214,0,"11.2333333","85",".",105.472619,".",2004,201.662526591359,107.410919206878,1718.72014415911,1041.99178040181,8.60568256095999,20.2575140897721,-0.314388160182419,-0.876321591231693,20
