Population,Latitude,Longitude,Elevation,cum daylight hours,ann mean temp,season length, GDD,Julien date of first flower,weighted mean date of peak flowering,percentage damaged by herbivory,Water depth,% sun,# days from >8C to first flowering,Weighted.days.to.flower,proportion through the growing season of flowering start
MDDB,38.7529722,75.9901111,-19,3343.12259,14.5,256,2774.6,,193.46788,0,8.33333333,83.3333333,,118.46788,
NJHP,41.3130278,74.678,390,2553.61516,8,185,1500.3,,213.377323,26.7,1.60714286,82.1428571,,102.377323,
NJPT,40.3403611,74.6498611,-27,2954.31147,11.5,220,2109.8,,207.110606,5.5,0.29411765,64.7058824,,113.110606,
NYLV,43.6970833,76.19425,74,2642.70562,8.8,191,1649.6,185,221.145639,24.7,23.4,62,74,110.145639,0.38743456
NYSC,42.522,79.1793056,222,2646.68255,8.9,192,1659.9,180,201.372365,0,0.06666667,70,71,92.3723653,0.36979167
NYWM,43.2897778,76.1285833,127,2635.42166,8.6,190,1653.1,174,229.276485,46.7,,,65,120.276485,0.34210526
OHBV,41.4647778,82.8199444,173,2797.2259,10.3,206,1996.8,178,220.179006,3.6,14,50,75,117.179006,0.36407767
OHSF,40.3903611,81.26125,257,2752.01064,10,202,1842.7,178,208.267762,29.6,0.33333333,69.1666667,77,107.267762,0.38118812
ONAP,45.5791111,78.4063611,454,2227.69781,4.1,155,1049.3,,215.309879,0,0.23333333,96.6666667,,92.3098792,
ONBT,44.5590556,78.3546111,253,2313.81452,5.2,163,1169.6,,205.239627,0,2.46666667,63.3333333,,85.2396265,
ONCB,46.3776389,79.9749167,200,2226.86748,3.8,154,1080.4,,208.370598,0,97.6666667,80.8333333,,85.3705976,
ONDM,44.4925,77.6456389,159,2381.26006,6,168,1251.7,178,198.295698,0,0.53333333,73.3333333,62,82.2956983,0.36904762
ONEC,47.6903889,80.2766389,260,2143.51989,2.3,146,982.4,,216.790076,0,0.56666667,93.3333333,,90.7900764,
ONKA,44.6482222,77.1218611,198,2383.2149,6,168,1251.7,,200.762347,0,0.16666667,70.8333333,,84.7623466,
ONLG,46.4253611,84.0878333,175,2223.51164,4.4,155,997,,225.34889,17.1,8.16666667,83.3333333,,98.3488904,
ONNO,45.4187222,80.1006667,266,2288.10664,4.6,160,1111.1,186,202.899541,0,0.46666667,93.3333333,65,81.8995408,0.40625
ONPG,44.5947778,78.132,257,2314.2529,5.2,163,1169.6,,209.475343,6.2,0.66666667,65.8333333,,89.4753429,
ONRO,45.2537222,79.6391111,235,2286.0177,4.6,160,1111.1,185,206.728054,0.5,0.06666667,89.1666667,64,85.7280543,0.4
ONRP,45.8302222,77.13225,202,2384.10003,5.3,167,1321.5,183,213.885624,0,137.8,64.1666667,66,96.8856238,0.39520958
ONWH,45.4926111,78.2382778,413,2226.60006,4.1,155,1049.3,182,204.021238,0,0.56666667,63.3333333,59,81.0212382,0.38064516
PACL,41.6483056,80.3111667,329,2626.49227,8.7,191,1586.8,,214.472619,0,11.2333333,85,,105.472619,
PASR,42.1165278,79.8801667,428,2777.17974,10.1,204,1856.7,179,196.22643,0,1.9,76.6666667,74,91.2264298,0.3627451
