"Pop_Code","Pop_Code","Family","Pop.Fam","Individual","PlantID","Latitude","Longitude","Elevation","Days","Veg","Infl","Nodes","NodeLength","StemWidth","LeafArea","Year","yday","GD","GDs","GDD","GDDs","meanGDeg","varGDeg","skewGDeg","kurtGDeg","numStns"
"MDDB",NA,19.78125,NA,NA,NA,38.75297222,-75.99011111,-19,112.875,831.09375,128.8125,22.21875,37.88032754375,3.836875,NA,2003,113,236.799540844187,113,2546.4835297194,1085.08940483122,10.7719101221433,35.3808249804691,-0.182157556319137,-1.12537800975228,20
"NJHP",NA,15.3469387755102,NA,NA,NA,41.31302778,-74.678,390,97.3265306122449,846.081632653061,118.673469387755,20.4081632653061,42.0732679753061,3.47387755102041,NA,2003,97,177.180100461326,97,1640.29602320428,883.877423088967,8.89513202863947,23.4818206464673,-0.0669867980379351,-0.921854504545099,20
"NJPT",NA,15.7142857142857,NA,NA,NA,40.34036111,-74.64986111,-27,100,993.732142857143,121.857142857143,23.4285714285714,42.7843917717857,4.28875,NA,2003,100,210.371463070933,100,2050.09206315939,811.70848258297,9.87084154118904,33.5657560453627,-0.124393283944217,-1.17388246725495,20
"NYCH",NA,16.4561403508772,NA,NA,NA,42.23847222,-75.84627778,169,85.0175438596491,833.385964912281,173.456140350877,18.2982456140351,46.0050247173684,3.97298245614035,NA,2003,85,152.923881916443,85,1332.59603343785,672.534466015152,9.12351562634437,16.4530402538243,-0.238471987123414,-0.757817659014843,20
"NYLV",NA,16.9298245614035,NA,NA,NA,43.69708333,-76.19425,74,86.9122807017544,822.80701754386,150.157894736842,20.2982456140351,40.8523092666667,3.68578947368421,NA,2003,87,151.443091657025,86.9999999999999,1486.23679344585,874.597405942908,9.77373901731022,18.4973629108208,-0.341458353007822,-0.677383815933438,20
"NYSC",NA,15,NA,NA,NA,42.522,-79.17930556,222,87.0588235294118,737.960784313726,176.666666666667,18.2156862745098,41.1459539131373,3.66490196078431,NA,2003,87,167.529636099439,87,1422.20086352099,707.319528863605,8.48626335249412,20.7602792472348,-0.19611012008646,-0.819069247942258,20
"NYWM",NA,15.3050847457627,NA,NA,NA,43.28977778,-76.12858333,127,87.1864406779661,819.220338983051,147.152542372881,18.0169491525424,45.7707591232203,3.67830508474576,NA,2003,87,150.00585640948,87,1424.36671448485,795.021895537609,9.68518251809996,17.352290834188,-0.311703752168543,-0.609835014904722,20
"OHBV",NA,19.5178571428571,NA,NA,NA,41.46477778,-82.81994444,173,89.3392857142857,1064.53571428571,163.196428571429,21.875,49.2930649689286,4.26214285714286,NA,2003,89,157.317503872433,89,1643.23580978675,909.527557520486,10.477687264201,20.8065075035895,-0.446056946815564,-0.520408231902353,20
"OHSF",NA,15.8727272727273,NA,NA,NA,40.39036111,-81.26125,257,96.9272727272727,933.181818181818,123.963636363636,23.7454545454545,39.7789432176364,4.08236363636364,NA,2003,97,177.527582759178,97,1800.09758407621,1003.461059716,10.1498528242653,21.2144198892646,-0.435559351254265,-0.807495936413867,20
"ONAP",NA,17.3,NA,NA,NA,45.57911111,-78.40636111,454,78,527.983333333333,156.983333333333,13.65,38.970953292,3.11183333333333,NA,2003,78,135.341424938516,78,1093.94559351503,668.14091616797,8.13769632130333,13.8925805148916,-0.0841368856810806,-0.680520598932023,9
"ONBR",NA,16.5,NA,NA,NA,44.6155,-75.68727778,94,84.2,642.183333333333,136.7,15.9333333333333,40.824565176,2.988,NA,2003,84,165.383869870799,83.9999999999999,1502.48361432468,794.877871638794,9.84612820801523,18.2259983713818,-0.232191088008921,-0.800894706712819,20
"ONBT",NA,16.7796610169492,NA,NA,NA,44.55905556,-78.35461111,253,91.2203389830509,635.423728813559,128.118644067797,15.8813559322034,40.5564917566102,2.89779661016949,NA,2003,91,150.87289306047,91,1341.94808975506,815.007603434207,8.98993014159328,17.346485130255,-0.28765213092074,-0.85978787461375,20
"ONCB",NA,15.5423728813559,NA,NA,NA,46.37763889,-79.97491667,200,84.6271186440678,668.152542372881,159.118644067797,16.0847457627119,41.8960107055932,3.3671186440678,NA,2003,85,118.858072833604,85,1112.006900639,868.672429078783,9.19583672594914,11.2863120669571,-0.166957799623227,-0.271897009394499,6
"ONDM",NA,15.9322033898305,NA,NA,NA,44.4925,-77.64563889,159,81.4915254237288,651.016949152542,193.610169491525,14.8474576271186,44.1972745908475,3.44440677966102,NA,2003,81,150.8517887712,81,1394.89830038187,690.117452117321,9.27756608471858,16.4581858143077,-0.211452241255019,-0.759481241446285,17
"ONEC",NA,16.2439024390244,NA,NA,NA,47.69038889,-80.27663889,260,105.463414634146,528.414634146341,115.146341463415,17.9024390243902,29.71073133,2.31048780487805,NA,2003,105,116,105,1044.75,986.55,9.00646551724138,14.2798935419144,0.0482005038345196,-0.56666773809632,1
"ONKA",NA,16.1,NA,NA,NA,44.64822222,-77.12186111,198,83.9166666666667,608.316666666667,156.65,16.15,38.0406838155,2.94233333333333,NA,2003,84,151.810276928539,84,1412.88164669199,727.643000409897,9.41651814604298,17.5244812112255,-0.182232352668461,-0.744763351876136,15
"ONLG",NA,17.6666666666667,NA,NA,NA,46.42536111,-84.08783333,175,79.0166666666667,714.516666666667,185.216666666667,15.75,45.5116001541667,3.48333333333333,NA,2003,79,136.091220953026,79,1173.02949427435,594.587584106934,8.3709710735627,14.6346521064346,-0.204655757236455,-0.823099411085843,13
"ONMB",NA,11.05,NA,NA,NA,44.29577778,-78.27744444,198,86.65,679.25,132.625,17,40.77102412275,2.96975,NA,2003,87,146.764404693216,87,1322.85516084659,758.014253435439,9.06802590858473,16.4865322032612,-0.160483174607861,-0.888610709075832,20
"ONNO",NA,16.8305084745763,NA,NA,NA,45.41872222,-80.10066667,266,94.406779661017,534.491525423729,112.457627118644,NA,NA,2.53542372881356,NA,2003,94,138.44015554565,94,1282.16621589339,872.659036257014,8.93040879278668,12.5910019520071,-0.246549157177822,-0.540335401675749,19
"ONPG",NA,15.7894736842105,NA,NA,NA,44.59477778,-78.132,257,90.4385964912281,622.070175438596,130.912280701754,16.1052631578947,38.9576260098246,2.72526315789474,NA,2003,90,145.225793168093,89.9999999999999,1302.34886814667,800.979764795314,8.96022879377392,16.7942078183986,-0.26725379865925,-0.859807048845338,20
"ONRO",NA,17.6666666666667,NA,NA,NA,45.25372222,-79.63911111,235,85.3725490196078,567.705882352941,131.254901960784,14.921568627451,38.6625295631373,2.86470588235294,NA,2003,85,143.783046200043,85,1181.1868579611,720.445975982838,8.19334527563567,14.2688933467647,-0.220725004739749,-0.750016185146915,20
