"Pop_Code","standard","actual","fruit.inf.Length","aborted.inf.length","flower.inf.length","bud.inf.Length","Location","Date","Latitude","Longitude","yday","Year","GD","GDs","GDD","GDDs","meanGDeg","varGDeg","skewGDeg","kurtGDeg","numStns"
"CHRB0001057-2","1144.175",10,0,0,615.546,218.55,"39.92678 -75.13045","1866-07-29",39.92678,-75.13045,210,1866,198,110,2354.05,1346.5,12.0104591836735,29.4105103973408,-0.0206485521670225,-0.561753858312459,1
"ILL00121768","881.02",10,0,0,481.116,499.188,"Amhert Massachusetts","1867-07-21",42.378056,-72.525738,202,1867,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHRB0001057","1144.175",10,633.057,0,501.891,396.095,"39.92678 -75.13045","1870-09-09",39.92678,-75.13045,252,1870,219,157,2684.2,2173.75,12.4268518518519,33.9057272112295,-0.153669892893526,-0.853802392067337,1
"PBRU00017490","1204.773",10,397.712,0,766.987,118.97,"Rhode Island: Kent County: Apponaug","1870-11-30",41.701109,-71.461761,334,1870,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NHA-726680","1608.02",10,0,0,1211.775,842.384,"Mass: Franklin","1874-07-01",42.50815,-72.70642,182,1874,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MU-V-000195927","1164.557",10,661.037,0,382.649,220.465,"Conway, New Hampshire","1875-08-15",43.981703,-71.12704,227,1875,162,91,1505.44797927738,1020.91789310833,9.52815176757834,22.8262639857393,-0.380559438716196,-0.988170332363802,2
"3009004","478.009",10,302.563,0,217.387,187.712,"41.17959 -73.895939 Croton Point NY","1875-08-13",41.17959,-73.895939,225,1875,185,107,2351,1551.8,12.7771739130435,31.5332925969448,-0.408071930679313,-0.899709967922698,1
"365690","1888.004",10,1380.026,0,1017.366,904.728,"Ashland Mass","1876-07-22",42.27269,-71.447461,204,1876,157,82,1734.35,982.2,11.1893548387097,28.2015919457571,-0.029672500717642,-0.999241190425753,1
"UVMVT126350","1228",10,0,0,753.627,272.383,"Rhode Island: Apponaug","1876-07-11",41.69994,-71.43391,193,1876,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v0305293WIS","896.02",10,0,0,626.52,309.511,"Apponaug Rhode Island","1876-07-11",41.700379,-71.45978,193,1876,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1189114","1170",10,2838.228,0,234.195,0,"Ashland Mass. ","1877-08-17",42.260534,-71.471301,229,1877,148,99,1752,1204.8,11.8378378378378,12.4896493791088,-0.624984393592793,-0.421166083848784,1
"UVMVT126342","1224.004",10,0,0,1507.128,360.838,"Mass: Cambridge: Botanical Garden","1877-07-13",42.37651,-71.11736,194,1877,148,64,1752,700.85,11.8378378378378,12.4896493791088,-0.624984393592795,-0.421166083848783,1
"NYBG-00366266","1216.232",10,0,0,1332.126,409.2,"Rhode Island: Apponaug","1877-07-03",41.701816,-71.461653,184,1877,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3009076","478.009",10,273.757,0,500.446,219.327,"Apponaug, Rhode Island","1877-07-03",41.700379,-71.45978,184,1877,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MISSA016731","1028.018",10,604.916,0,686.528,222.788,"","1877-08-16",43.455346,-76.510497,228,1877,164,103,1632.42073772872,1080.50848104964,10.0766712205477,18.1742229267976,-0.501217021362275,-0.593514081540566,2
"3008995","478.004",10,859.43,0,13.906,54.12,"Flushing, Long Island =, New York","1878-08-30",40.768414,-73.839414,242,1878,207,148,2275.67159896723,1690.1747973285,10.9935826037064,29.4574219779544,-0.0971494566125409,-0.993400196117489,3
"365685","1896.002",10,5408.116,0,0,0,"Ashland Mass","1878-08-21",42.27269,-71.447461,233,1878,199,131,1835.8,1292.55,9.36632653061224,23.2281294226233,0.0929999628979705,-0.711043021619273,1
"919016018","614.72",5,155.05,0,402.58,0,NA,NA,42.34,-71.05,224,1878,199,122,1835.8,1170.65,9.36632653061224,23.2281294226233,0.0929999628979706,-0.711043021619273,1
"PBRU00017488","1210.004",10,1800.287,0,1319.398,243.961,"Rhode Island: Kent County: Apponaug","1878-07-12",41.701109,-71.461761,193,1878,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PBRU00039025","1243.003",10,1131.989,0,657.187,225.989,"Rhode Island: Apponaug, by pond side","1878-06-30",41.703242,-71.46023,181,1878,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NYBG-00366287","1218.837",10,0,0,1080.281,381.228,"Penn: Philadelphia: Girard Pt","1878-07-04",39.892889,-75.19621,185,1878,211,96,2505.3995314344,913.501441305719,11.8739314285991,26.4428670480662,-0.125799612107862,-1.08432710958358,2
"NYBG-00365720","1224.338",10,2341.091,0,0,0,"NY: Queens: Flushing: Kissena Park","1878-08-31",40.747346,-73.806791,243,1878,207,149,2271.72169278617,1700.76460505221,10.9745009313342,29.2093663337231,-0.0974906811682497,-0.996279080016157,3
"NYBG-00365792","1220.007",10,2469.41,0,872.201,160.798,"NY: Queens: Flushing: Long Island","1878-08-31",40.879915,-73.229921,243,1878,201,143,2159.48353062464,1619.86852979424,10.7436991573365,25.812527537086,-0.0829318966168826,-0.958829445579199,3
"NYBG-00365793","1224.287",10,0,0,979.344,470.498,"NY: Queens: Flushing: Long Island","1878-08-30",40.879915,-73.229921,242,1878,201,142,2159.48353062464,1605.75041114993,10.7436991573365,25.812527537086,-0.0829318966168826,-0.958829445579199,3
"NYBG-00366252","1224.007",10,0,0,1445.388,250.578,"NY: Bronx County: Williamsbridge","1878-07-22",40.850536,-73.873904,203,1878,207,109,2278.20944187563,1087.3862188526,11.005842714375,29.5522570612701,-0.09681946850877,-0.992444168488829,3
"NYBG-00365786","1216.728",10,388.988,0,458.109,432.903,"New Jersey: Bergen: Ridgefield","1879-07-27",40.83827,-74.017284,208,1879,187,99,2204.58983517645,1166.38405996909,11.789250455489,19.4392196684729,-0.101532850051838,-0.464003682493962,3
"NYBG-00366286","1224.238",10,3488.821,0,0,0,"Penn: Philadelphia","1879-08-10",39.931369,-75.208681,222,1879,213,113,2536.37115973938,1544.63033441386,12.4331919595068,22.7229681032473,-0.490734720414866,-0.206870737452065,2
"OS0016033","1232.08",10,980.132,0,611.849,446.927,"Ithaca New York","1879-07-16",42.450516,-76.509018,197,1879,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OS0015829","1224.08",10,0,0,591.482,690.341,"Apponaug Rhode Island","1879-07-03",41.701109,-71.461761,184,1879,NA,NA,NA,NA,NA,NA,NA,NA,NA
"919031183","610.12",5,2016.09,0,247.09,497.06,NA,NA,42.36,-71.06,194,1880,182,84,1840.8,852.95,10.1701657458564,22.8670543682837,-0.169791944838458,-0.719467128919089,1
"919016192","616.01",5,0,0,252.25,290.96,NA,NA,42.38,-71.06,204,1881,157,84,1690.85,801.05,10.7697452229299,17.7472534382734,-0.333915159456203,-0.085496172510938,1
"NYBG-00365741","1224",10,825.839,0,1409.5,0,"NY: Bronx County: Pelham Manor","1881-07-01",40.894519,-73.802024,182,1881,203,78,2266.44314230555,660.428093320604,11.1647445433771,29.0409068642801,-0.309005487080479,-0.740322600402297,3
"919011611","614.05",5,1487.45,0,671.84,0,NA,NA,42.73,-70.99,203,1882,151,60,1601.00317421111,644.04202347713,10.6026700278881,19.6494885814051,-0.179952355323994,-0.730016308198072,2
"919023210","612.05",5,519.536,2139.764,555.401,178.572,NA,NA,42.64,-71.38,222,1882,151,79,1604.2,949.8,10.6238410596026,20.9617163720889,-0.201995895590211,-0.732019930362259,1
