Population,Family,Pop-Fam,Individual,PlantID,Latitude,Longitude,Elevation,Days,Veg,Infl,Nodes,NodeLength,StemWidth,LeafArea
DUMMY,9999,XXXX,Z,XXXX,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
MDDB,2,MDDB-2,a,MDDB-2-a,38.75297222,75.99011111,-19,90,478,75,17,28.11764706,2.72,
MDDB,2,MDDB-2,b,MDDB-2-b,38.75297222,75.99011111,-19,104,573,145,19,30.15789474,2.86,630.9
MDDB,4,MDDB-4,b,MDDB-4-b,38.75297222,75.99011111,-19,127,672,175,27,24.88888889,3.87,
MDDB,5,MDDB-5,a,MDDB-5-a,38.75297222,75.99011111,-19,127,821,91,21,39.0952381,3.73,
MDDB,5,MDDB-5,b,MDDB-5-b,38.75297222,75.99011111,-19,146,1008,209,23,43.82608696,4.04,845.1
MDDB,6,MDDB-6,a,MDDB-6-a,38.75297222,75.99011111,-19,115,824,115,26,31.69230769,3.81,
MDDB,6,MDDB-6,b,MDDB-6-b,38.75297222,75.99011111,-19,118,627,44,20,31.35,2.37,531.5
MDDB,8,MDDB-8,a,MDDB-8-a,38.75297222,75.99011111,-19,129,723,133,22,32.86363636,2.98,
MDDB,8,MDDB-8,b,MDDB-8-b,38.75297222,75.99011111,-19,130,595,94,17,35,2.61,810.4
MDDB,9,MDDB-9,a,MDDB-9-a,38.75297222,75.99011111,-19,148,1053,80,30,35.1,3.41,
MDDB,11,MDDB-11,a,MDDB-11-a,38.75297222,75.99011111,-19,151,743,101,22,33.77272727,2.99,
MDDB,15,MDDB-15,a,MDDB-15-a,38.75297222,75.99011111,-19,82,635,116,15,42.33333333,3.54,
MDDB,15,MDDB-15,b,MDDB-15-b,38.75297222,75.99011111,-19,95,683,101,19,35.94736842,3.02,845.6
MDDB,17,MDDB-17,a,MDDB-17-a,38.75297222,75.99011111,-19,93,593,174,18,32.94444444,3.99,
MDDB,17,MDDB-17,b,MDDB-17-b,38.75297222,75.99011111,-19,140,1080,135,27,40,4.24,1155.2
MDDB,18,MDDB-18,b,MDDB-18-b,38.75297222,75.99011111,-19,98,1040,137,20,52,4.75,1980.2
MDDB,19,MDDB-19,a,MDDB-19-a,38.75297222,75.99011111,-19,142,1048,142,30,34.93333333,3.98,
MDDB,21,MDDB-21,a,MDDB-21-a,38.75297222,75.99011111,-19,117,852,142,21,40.57142857,4.27,
MDDB,21,MDDB-21,b,MDDB-21-b,38.75297222,75.99011111,-19,146,1075,125,36,29.86111111,5.71,1695.6
MDDB,22,MDDB-22,b,MDDB-22-b,38.75297222,75.99011111,-19,120,701,85,24,29.20833333,2.9,496.3
MDDB,26,MDDB-26,a,MDDB-26-a,38.75297222,75.99011111,-19,123,674,101,22,30.63636364,3.07,
MDDB,26,MDDB-26,b,MDDB-26-b,38.75297222,75.99011111,-19,127,732,82,25,29.28,4.06,902.1
MDDB,28,MDDB-28,a,MDDB-28-a,38.75297222,75.99011111,-19,80,717,145,18,39.83333333,4.55,
MDDB,28,MDDB-28,b,MDDB-28-b,38.75297222,75.99011111,-19,85,1060,143,18,58.88888889,4.22,1063.4
MDDB,33,MDDB-33,a,MDDB-33-a,38.75297222,75.99011111,-19,97,1232,247,23,53.56521739,5.23,
MDDB,33,MDDB-33,b,MDDB-33-b,38.75297222,75.99011111,-19,112,900,152,22,40.90909091,4.43,1290.2
MDDB,35,MDDB-35,a,MDDB-35-a,38.75297222,75.99011111,-19,78,735,161,18,40.83333333,4.13,
MDDB,35,MDDB-35,b,MDDB-35-b,38.75297222,75.99011111,-19,91,915,175,22,41.59090909,4.22,2321.2
MDDB,39,MDDB-39,a,MDDB-39-a,38.75297222,75.99011111,-19,110,1170,100,23,50.86956522,4.85,
MDDB,39,MDDB-39,b,MDDB-39-b,38.75297222,75.99011111,-19,111,1022,130,28,36.5,4.46,723
MDDB,40,MDDB-40,a,MDDB-40-a,38.75297222,75.99011111,-19,93,732,117,20,36.6,3.73,
MDDB,40,MDDB-40,b,MDDB-40-b,38.75297222,75.99011111,-19,87,882,150,18,49,4.04,1294.9
NJHP,1,NJHP-1,a,NJHP-1-a,41.31302778,74.678,390,108,555,88,16,34.6875,3.29,
NJHP,1,NJHP-1,b,NJHP-1-b,41.31302778,74.678,390,105,670,148,19,35.26315789,3.16,580.8
NJHP,2,NJHP-2,a,NJHP-2-a,41.31302778,74.678,390,98,927,197,19,48.78947368,4.06,
NJHP,2,NJHP-2,b,NJHP-2-b,41.31302778,74.678,390,80,735,172,18,40.83333333,3.16,950.1
NJHP,3,NJHP-3,a,NJHP-3-a,41.31302778,74.678,390,79,613,154,14,43.78571429,3.49,
NJHP,3,NJHP-3,b,NJHP-3-b,41.31302778,74.678,390,82,748,123,14,53.42857143,4.29,1518.9
NJHP,4,NJHP-4,a,NJHP-4-a,41.31302778,74.678,390,110,714,140,19,37.57894737,2.64,
NJHP,4,NJHP-4,b,NJHP-4-b,41.31302778,74.678,390,94,1008,105,22,45.81818182,3.82,1511.1
NJHP,5,NJHP-5,a,NJHP-5-a,41.31302778,74.678,390,78,619,94,16,38.6875,3.61,
NJHP,5,NJHP-5,b,NJHP-5-b,41.31302778,74.678,390,91,703,152,20,35.15,3.26,1208
NJHP,6,NJHP-6,a,NJHP-6-a,41.31302778,74.678,390,114,1003,100,23,43.60869565,3.26,
NJHP,6,NJHP-6,b,NJHP-6-b,41.31302778,74.678,390,86,678,124,18,37.66666667,3.4,849.9
NJHP,7,NJHP-7,a,NJHP-7-a,41.31302778,74.678,390,106,690,130,23,30,3.34,
NJHP,8,NJHP-8,a,NJHP-8-a,41.31302778,74.678,390,151,591,94,23,25.69565217,1.52,
NJHP,8,NJHP-8,b,NJHP-8-b,41.31302778,74.678,390,83,647,130,13,49.76923077,2.76,1103.1
