"Pop_Code","Latitude","Longitude","Elevation","cum.daylight.hours","ann.mean.temp","season.length","GDD","Julien.date.of.first.flower","yday","percentage.damaged.by.herbivory","Water.depth","X..sun","X..days.from..8C.to.first.flowering","weighted.average...days.after.growing.season.to.flowering","proportion.through.the.growing.season.of.flowering.start","Year","GD","GDs","GDDs","meanGDeg","varGDeg","skewGDeg","kurtGDeg","numStns"
"MDDB",38.7529722,-75.9901111,-19,3343.12259,14.5,256,2732.32930872565,".",193,0,"8.33333333","83.3333333",".",118.46788,".",2004,219.799329389557,89.6208102863961,1231.42166123698,12.4340851803223,28.9143580836938,-0.634911639619844,-0.635287675881626,19
"NJHP",41.3130278,-74.678,390,2553.61516,8,185,1749.7608761235,".",213,26.7,"1.60714286","82.1428571",".",102.377323,".",2004,171.968592845575,96.3460518210663,1030.47720827028,10.1798732583672,16.6379886660803,-0.484001757800569,-0.383279801266542,20
"NJPT",40.3403611,-74.6498611,-27,2954.31147,11.5,220,2216.00551448896,".",207,5.5,"0.29411765","64.7058824",".",113.110606,".",2004,197.020000616309,103.554382428745,1205.76339863025,11.2686474872878,22.9831890468313,-0.516922238695633,-0.597473143323877,20
"NYLV",43.6970833,-76.19425,74,2642.70562,8.8,191,1458.29572319621,"185",221,24.7,"23.4","62","74",110.145639,"0.38743456",2004,155.825643920998,92.9424793932666,884.677393397493,9.3466835511837,14.4053307470953,-0.280337178564763,-0.48284904633368,19
"NYSC",42.522,-79.1793056,222,2646.68255,8.9,192,1724.5899986519,"180",201,0,"0.06666667","70","71",92.3723653,"0.36979167",2004,194.889887994131,88.9236349757171,793.801692140494,8.87699409790416,20.4347961467694,-0.268880747899908,-0.725158525995581,20
"NYWM",43.2897778,-76.1285833,127,2635.42166,8.6,190,1498.41042244856,"174",229,46.7,".",".","65",120.276485,"0.34210526",2004,154.816942361226,100.64178435398,997.516872476553,9.66521733569016,13.7644310791442,-0.320781536412272,-0.366582298723816,20
"OHBV",41.4647778,-82.8199444,173,2797.2259,10.3,206,1936.06281041829,"178",220,3.6,"14","50","75",117.179006,"0.36407767",2004,200.108839691268,113.777541223469,1225.50625188492,9.67227071411953,23.6022609345113,-0.295688351738005,-0.789213468601929,19
"OHSF",40.3903611,-81.26125,257,2752.01064,10,202,1952.2569827929,"178",208,29.6,"0.33333333","69.1666667","77",107.267762,"0.38118812",2004,201.192810512767,101.867365402732,1095.02786986697,9.7099470403456,20.309555683525,-0.415365425128879,-0.666242523335258,20
"ONAP",45.5791111,-78.4063611,454,2227.69781,4.1,155,1100.24156811001,".",215,0,"0.23333333","96.6666667",".",92.3098792,".",2004,148.283823079508,86.1987284862943,654.345510147366,7.42608780735629,13.8865928802962,0.0718601449354778,-0.842498728791067,9
"ONBT",44.5590556,-78.3546111,253,2313.81452,5.2,163,1273.22742420464,".",205,0,"2.46666667","63.3333333",".",85.2396265,".",2004,148.367982374702,75.9490246109172,632.233759555447,8.57757463981584,12.1969013055153,-0.0718517790946657,-0.722569224749354,20
"ONCB",46.3776389,-79.9749167,200,2226.86748,3.8,154,1033.04554730532,".",208,0,"97.6666667","80.8333333",".",85.3705976,".",2004,130.658579818971,61.3238751944506,474.852319423356,7.91217589416123,12.3235193555834,-0.0375728192446817,-0.742028896359976,6
"ONDM",44.4925,-77.6456389,159,2381.26006,6,168,1365.59316476357,"178",198,0,"0.53333333","73.3333333","62",82.2956983,"0.36904762",2004,155.950860881024,69,582.061150998886,8.7583670586009,13.1894163788863,-0.211036933535544,-0.768820229322137,18
"ONEC",47.6903889,-80.2766389,260,2143.51989,2.3,146,858.05,".",217,0,"0.56666667","93.3333333",".",90.7900764,".",2004,112,68,546.45,7.66116071428571,14.1113709741709,0.234702832627393,-0.560246171271145,1
"ONKA",44.6482222,-77.1218611,198,2383.2149,6,168,1434.79801644696,".",201,0,"0.16666667","70.8333333",".",84.7623466,".",2004,154.000312936562,72,644.8558275895,9.31684425453168,9.11767830032619,0.111789997258197,-0.585989542852184,15
"ONLG",46.4253611,-84.0878333,175,2223.51164,4.4,155,951.856186687434,".",225,17.1,"8.16666667","83.3333333",".",98.3488904,".",2004,128.642935777856,86.6180409793909,592.46536268682,7.40406775857388,12.0366959737215,0.0473288184405379,-0.764184959704105,15
"ONNO",45.4187222,-80.1006667,266,2288.10664,4.6,160,1331.03528573679,"186",203,0,"0.46666667","93.3333333","65",81.8995408,"0.40625",2004,155.129219838208,74.4616799712269,591.642778265058,8.57843797095324,15.0856522364694,-0.107460124124719,-0.791485371019412,19
"ONPG",44.5947778,-78.132,257,2314.2529,5.2,163,1278.11632751811,".",209,6.2,"0.66666667","65.8333333",".",89.4753429,".",2004,149.13426490887,80.0751793807742,669.849228075167,8.56496539286196,12.3388020235894,-0.0742183515211457,-0.733497571596518,20
"ONRO",45.2537222,-79.6391111,235,2286.0177,4.6,160,1231.69002893656,"185",207,0.5,"0.06666667","89.1666667","64",85.7280543,"0.4",2004,156.883528875764,84.9792701569353,610.298852727232,7.90511376081882,15.2354050915868,-0.0230233059665499,-0.805361810360764,20
"ONRP",45.8302222,-77.13225,202,2384.10003,5.3,167,1280.28123860961,"183",214,0,"137.8","64.1666667","66",96.8856238,"0.39520958",2004,154.716791790888,86.1249748661537,730.756196205671,8.29314939784321,15.402730553921,-0.0852613807412075,-0.824393912170065,13
"ONTI",48.4783611,-81.2986944,319,2047.86059,1.4,138,680,".",229,93.2,"0","87.5",".",99.0295398,".",2004,105,79,532.35,6.47619047619048,14.206052154195,0.285846027244002,-0.717491979305652,1
"ONWH",45.4926111,-78.2382778,413,2226.60006,4.1,155,1157.66892467266,"182",204,0,"0.56666667","63.3333333","59",81.0212382,"0.38064516",2004,148.925662304588,75.1653722068121,572.957994115764,7.76732659071532,14.0119765316528,0.0336445535484421,-0.792961643162152,12
"PACL",41.6483056,-80.3111667,329,2626.49227,8.7,191,1730.23708324627,".",214,0,"11.2333333","85",".",105.472619,".",2004,200.278358711211,107.468222984616,1018.88052383197,8.63987574311749,20.2549843503846,-0.334592867450682,-0.859542019148182,20
"PASR",42.1165278,-79.8801667,428,2777.17974,10.1,204,1745.91811879377,"179",196,0,"1.9","76.6666667","74",91.2264298,"0.3627451",2004,198.135154976445,88.0713141381813,798.113970064591,8.81748442922187,20.374987063706,-0.304476137829646,-0.801858973761021,20
