"Pop_Code","Pop_Code.1","Family","Pop.Fam","Individual","PlantID","Latitude","Longitude","Elevation","Days","Veg","Infl","Nodes","NodeLength","StemWidth","LeafArea","Year","yday","GD","GDs","GDD","GDDs","meanGDeg","varGDeg","skewGDeg","kurtGDeg","numStns"
"MDDB",NA,19.78125,NA,NA,NA,38.75297222,-75.99011111,-19,112.875,831.09375,128.8125,22.21875,37.88032754375,3.836875,NA,2003,113,242.890700478642,32.2044753633939,2630.15196392246,130.589375157697,10.8316928685583,35.7776438325005,-0.174027316650752,-1.12533241986509,20
"NJHP",NA,15.3469387755102,NA,NA,NA,41.31302778,-74.678,390,97.3265306122449,846.081632653061,118.673469387755,20.4081632653061,42.0732679753061,3.47387755102041,NA,2003,97,176.943009130464,-16.9262514193097,1539.35465635492,29.7450924475494,8.69674692950546,22.7396554571292,-0.0644439265008874,-0.904515034236138,20
"NJPT",NA,15.7142857142857,NA,NA,NA,40.34036111,-74.64986111,-27,100,993.732142857143,121.857142857143,23.4285714285714,42.7843917717857,4.28875,NA,2003,100,210.424126760157,9.35430219283848,2064.1377934019,39.2867590610961,9.82857112902803,33.1708129616212,-0.134127574434176,-1.15423345025121,20
"NYCH",NA,16.4561403508772,NA,NA,NA,42.23847222,-75.84627778,169,85.0175438596491,833.385964912281,173.456140350877,18.2982456140351,46.0050247173684,3.97298245614035,NA,2003,85,152.275892113379,-36.9146278513435,1371.24135358231,54.3684837784339,9.02291550442745,17.0767347937621,-0.213552301642455,-0.760920001214123,20
"NYLV",NA,16.9298245614035,NA,NA,NA,43.69708333,-76.19425,74,86.9122807017544,822.80701754386,150.157894736842,20.2982456140351,40.8523092666667,3.68578947368421,NA,2003,87,152.208664231326,-40.3986270149274,1483.38675904855,75.1537188774371,9.74850010695997,18.4800675965537,-0.309713781628656,-0.680487665629105,20
"NYSC",NA,15,NA,NA,NA,42.522,-79.17930556,222,87.0588235294118,737.960784313726,176.666666666667,18.2156862745098,41.1459539131373,3.66490196078431,NA,2003,87,168.67272991943,-31.6378138502535,1573.21979946563,67.153287907405,9.32042792337621,20.3675722255821,-0.34850380751243,-0.706555314029298,20
"NYWM",NA,15.3050847457627,NA,NA,NA,43.28977778,-76.12858333,127,87.1864406779661,819.220338983051,147.152542372881,18.0169491525424,45.7707591232203,3.67830508474576,NA,2003,87,153.663307701034,-37.8563253797193,1475.11796671065,71.9361711678913,9.60449622968259,18.2628403120912,-0.304929701055891,-0.639881269102719,20
"OHBV",NA,19.5178571428571,NA,NA,NA,41.46477778,-82.81994444,173,89.3392857142857,1064.53571428571,163.196428571429,21.875,49.2930649689286,4.26214285714286,NA,2003,89,161.95454345012,-29.6714226024037,1689.3754229091,84.3709881358041,10.4499461362765,20.6649701727156,-0.467679067179132,-0.548035424538638,20
"OHSF",NA,15.8727272727273,NA,NA,NA,40.39036111,-81.26125,257,96.9272727272727,933.181818181818,123.963636363636,23.7454545454545,39.7789432176364,4.08236363636364,NA,2003,97,174.620704209561,-14.6014894387443,1803.24517575306,53.9431941481519,10.3323812566006,22.5534971377637,-0.43536792859134,-0.752669501638773,20
"ONAP",NA,17.3,NA,NA,NA,45.57911111,-78.40636111,454,78,527.983333333333,156.983333333333,13.65,38.970953292,3.11183333333333,NA,2003,78,137.110572846183,-56.6942198361667,1145.15924577318,56.7482943085912,8.34228698635533,13.9933481075785,-0.10530295744238,-0.711967356456959,9
"ONBR",NA,16.5,NA,NA,NA,44.6155,-75.68727778,94,84.2,642.183333333333,136.7,15.9333333333333,40.824565176,2.988,NA,2003,84,165.621024789923,-39.0063838722055,1657.91216163976,53.5968946908797,10.0097347658474,19.2654511904564,-0.375152949849793,-0.646886816782127,20
"ONBT",NA,16.7796610169492,NA,NA,NA,44.55905556,-78.35461111,253,91.2203389830509,635.423728813559,128.118644067797,15.8813559322034,40.5564917566102,2.89779661016949,NA,2003,91,145.958687533901,-32.7242584019951,1327.66106414082,45.2981175752096,9.09819460740288,15.7964964359594,-0.228948584998537,-0.760863877279023,20
"ONCB",NA,15.5423728813559,NA,NA,NA,46.37763889,-79.97491667,200,84.6271186440678,668.152542372881,159.118644067797,16.0847457627119,41.8960107055932,3.3671186440678,NA,2003,85,120.584603925437,-53.6707490849373,1108.39846714898,107.875057246742,9.1954399181493,10.8414954932428,-0.187098424075759,-0.3004721484537,6
"ONDM",NA,15.9322033898305,NA,NA,NA,44.4925,-77.64563889,159,81.4915254237288,651.016949152542,193.610169491525,14.8474576271186,44.1972745908475,3.44440677966102,NA,2003,81,151.034597314848,-40.3094056740875,1444.60503289997,35.9519280821451,9.55509437412824,16.379980636533,-0.266234192786722,-0.733492038883581,17
"ONEC",NA,16.2439024390244,NA,NA,NA,47.69038889,-80.27663889,260,105.463414634146,528.414634146341,115.146341463415,17.9024390243902,29.71073133,2.31048780487805,NA,2003,105,114.859690066223,-41.2913181456908,997.441705562912,96.9570738410568,8.68105728205147,13.7851095806624,0.0485349145130714,-0.578547308280296,3
"ONKA",NA,16.1,NA,NA,NA,44.64822222,-77.12186111,198,83.9166666666667,608.316666666667,156.65,16.15,38.0406838155,2.94233333333333,NA,2003,84,151.998150797441,-36.0023775975729,1472.45797242271,35.749516773854,9.68732195011415,17.6055439127945,-0.176486836772576,-0.733391327947398,15
"ONLG",NA,17.6666666666667,NA,NA,NA,46.42536111,-84.08783333,175,79.0166666666667,714.516666666667,185.216666666667,15.75,45.5116001541667,3.48333333333333,NA,2003,79,133.134327706707,-55.5308680383099,1122.08100828571,43.7354117609112,8.44953495065084,13.7490768768025,-0.186647990075327,-0.660755328782104,13
"ONMB",NA,11.05,NA,NA,NA,44.29577778,-78.27744444,198,86.65,679.25,132.625,17,40.77102412275,2.96975,NA,2003,87,148.534081661912,-35.6398898159235,1334.78487767003,41.5945010170682,8.98583543028691,16.4946969389484,-0.199314321853706,-0.864887650720884,20
